Id;Cluster0;Cluster1;Cluster2
video_0;42.0;7.0;71.0
video_1;20.0;13.0;37.0
video_2;90.0;5.0;75.0
video_3;62.0;161.0;105.0
video_4;39.0;7.0;69.0
video_5;167.0;31.0;57.0
video_6;199.0;343.0;31.0
video_7;50.0;13.0;79.0
video_8;43.0;123.0;102.0
video_9;62.0;33.0;22.0
video_10;73.0;109.0;43.0
video_11;11.0;127.0;61.0
video_12;218.0;39.0;91.0
video_13;71.0;2.0;86.0
video_14;47.0;67.0;18.0
video_15;65.0;47.0;3.0
video_16;12.0;49.0;67.0
video_17;101.0;13.0;53.0
video_18;19.0;73.0;183.0
video_19;15.0;35.0;63.0
video_20;18.0;45.0;2.0
video_21;95.0;15.0;65.0
video_22;97.0;7.0;49.0
video_23;3.0;41.0;93.0
video_24;33.0;178.0;123.0
video_25;111.0;67.0;37.0
video_26;13.0;29.0;44.0
video_27;67.0;27.0;7.0
video_28;7.0;32.0;25.0
video_29;66.0;95.0;13.0
video_30;15.0;3.0;61.0
video_31;39.0;79.0;7.0
video_32;103.0;23.0;77.0
video_33;59.0;27.0;3.0
video_34;43.0;9.0;103.0
video_35;51.0;128.0;26.0
video_36;105.0;63.0;38.0
video_37;39.0;119.0;86.0
video_38;19.0;65.0;37.0
video_39;57.0;18.0;13.0
video_40;71.0;7.0;35.0
video_41;5.0;81.0;58.0
video_42;27.0;161.0;131.0
video_43;33.0;15.0;123.0
video_44;76.0;23.0;57.0
video_45;77.0;39.0;2.0
video_46;78.0;92.0;15.0
video_47;101.0;43.0;21.0
video_48;80.0;4.0;17.0
video_49;149.0;177.0;57.0
video_50;3.0;61.0;39.0
video_51;77.0;19.0;39.0
video_52;42.0;115.0;132.0
video_53;53.0;13.0;35.0
video_54;55.0;15.0;87.0
video_55;125.0;157.0;35.0
video_56;3.0;75.0;27.0
video_57;31.0;51.0;9.0
video_58;83.0;15.0;8.0
video_59;9.0;71.0;55.0
video_60;41.0;77.0;9.0
video_61;139.0;82.0;178.0
video_62;25.0;85.0;152.0
video_63;123.0;102.0;27.0
video_64;13.0;137.0;31.0
video_65;29.0;2.0;15.0
video_66;38.0;2.0;61.0
video_67;5.0;26.0;53.0
video_68;43.0;11.0;82.0
video_69;10.0;31.0;57.0
video_70;43.0;72.0;11.0
video_71;5.0;71.0;82.0
video_72;65.0;5.0;110.0
video_73;10.0;65.0;99.0
video_74;34.0;20.0;127.0
video_75;125.0;41.0;58.0
video_76;143.0;58.0;20.0
video_77;21.0;97.0;49.0
video_78;46.0;78.0;19.0
video_79;13.0;2.0;33.0
video_80;62.0;14.0;35.0
video_81;9.0;67.0;39.0
video_82;34.0;5.0;64.0
video_83;105.0;16.0;28.0
video_84;51.0;69.0;2.0
video_85;33.0;99.0;5.0
video_86;38.0;5.0;77.0
video_87;41.0;3.0;92.0
video_88;95.0;9.0;113.0
video_89;103.0;53.0;17.0
video_90;29.0;13.0;47.0
video_91;7.0;135.0;39.0
video_92;62.0;99.0;136.0
video_93;145.0;44.0;9.0
video_94;57.0;45.0;7.0
video_95;61.0;7.0;23.0
video_96;121.0;17.0;68.0
video_97;61.0;85.0;3.0
video_98;143.0;28.0;109.0
video_99;100.0;185.0;55.0
video_100;63.0;118.0;27.0
video_101;13.0;38.0;57.0
video_102;73.0;5.0;38.0
